mxn-jpy,0.10308,-0.129917
zar-jpy,0.074032,-0.098156
try-jpy,0.071066,-0.112201
mxn-chf,0.066877,-0.094551
mxn-eur,0.066686,-0.09397
mxn-sgd,0.061101,-0.093148
pln-jpy,0.060231,-0.087801
czk-jpy,0.059806,-0.082189
mxn-aud,0.058363,-0.092956
mxn-cad,0.05034,-0.079406
mxn-gbp,0.050278,-0.080027
mxn-usd,0.049771,-0.076292
mxn-hkd,0.046727,-0.075945
hkd-jpy,0.043655,-0.066669
usd-jpy,0.043308,-0.063625
nzd-jpy,0.041613,-0.068539
cad-jpy,0.039982,-0.063372
gbp-jpy,0.039317,-0.064245
zar-eur,0.038017,-0.062843
zar-chf,0.036678,-0.061193
try-chf,0.034864,-0.076835
zar-sgd,0.032529,-0.061746
aud-jpy,0.030546,-0.054438
try-sgd,0.029087,-0.075432
zar-aud,0.02876,-0.055696
sek-jpy,0.026237,-0.049162
sgd-jpy,0.026044,-0.05187
mxn-pln,0.025595,-0.059369
nok-jpy,0.025157,-0.051666
chf-jpy,0.02505,-0.046519
eur-jpy,0.024946,-0.046382
pln-chf,0.024029,-0.052435
czk-chf,0.02389,-0.047168
pln-dkk,0.023258,-0.060516
pln-eur,0.021751,-0.053684
zar-cad,0.021671,-0.048279
czk-eur,0.021612,-0.048417
zar-gbp,0.021609,-0.0489
pln-sek,0.019937,-0.051598
zar-usd,0.019572,-0.042934
usd-cnh,0.018059,-0.048844
try-usd,0.017758,-0.058576
dkk-jpy,0.016969,-0.04729
zar-hkd,0.016528,-0.042588
nzd-cnh,0.014391,-0.055796
zar-nzd,0.014384,-0.048761
gbp-cnh,0.014252,-0.048571
pln-nok,0.011477,-0.056807
pln-gbp,0.009098,-0.035226
pln-usd,0.008825,-0.031418
hkd-chf,0.007452,-0.031303
czk-usd,0.007109,-0.029126
usd-chf,0.007106,-0.028259
czk-cad,0.007037,-0.032235
hkd-dkk,0.006682,-0.039384
usd-dkk,0.006182,-0.036647
nzd-chf,0.00541,-0.033173
hkd-eur,0.005174,-0.032552
usd-eur,0.004828,-0.029508
usd-sek,0.003901,-0.02646
cnh-jpy,0.003853,-0.035004
hkd-sek,0.00336,-0.030466
nzd-eur,0.003132,-0.034422
gbp-chf,0.003115,-0.028879
cad-dkk,0.002996,-0.036312
cad-chf,0.002938,-0.026733
gbp-eur,0.002874,-0.027478
nzd-dkk,0.002514,-0.043599
gbp-dkk,0.002375,-0.036374
cad-eur,0.001502,-0.029255
usd-nok,0.001398,-0.02754
usd-sgd,0.001329,-0.026856
aud-cnh,0.001323,-0.040485
cad-sek,0.000715,-0.026125
eur-cnh,0.000309,-0.032163
nzd-sek,0.000233,-0.033412
gbp-sek,9.4E-05,-0.026187
zar-pln,-8.3E-05,-0.026268
nzd-sgd,-0.000366,-0.03177
usd-aud,-0.000812,-0.022762
cad-nok,-0.001789,-0.027205
hkd-sgd,-0.001993,-0.026463
cad-sgd,-0.001997,-0.026603
nzd-nok,-0.002271,-0.034491
nzd-aud,-0.002508,-0.027677
gbp-sgd,-0.002615,-0.02638
try-pln,-0.003481,-0.040065
cad-aud,-0.004139,-0.02251
gbp-aud,-0.004803,-0.023382
hkd-aud,-0.004827,-0.026547
aud-chf,-0.005657,-0.019071
aud-eur,-0.007935,-0.02032
hkd-cad,-0.009401,-0.016371
gbp-nok,-0.009436,-0.033251
usd-cad,-0.009665,-0.013187
nok-chf,-0.009679,-0.019481
usd-gbp,-0.009727,-0.013808
aud-sek,-0.009748,-0.018234
sgd-chf,-0.00975,-0.016929
usd-hkd,-0.00981,-0.013186
sgd-eur,-0.009972,-0.016557
sek-chf,-0.010316,-0.015245
sgd-dkk,-0.01052,-0.02501
aud-dkk,-0.010555,-0.028288
nok-eur,-0.010858,-0.016353
eur-chf,-0.010915,-0.012745
pln-czk,-0.011986,-0.017392
nzd-gbp,-0.012316,-0.018905
sek-eur,-0.012594,-0.016494
chf-eur,-0.012745,-0.010915
hkd-gbp,-0.012913,-0.013618
cad-hkd,-0.012997,-0.012851
eur-dkk,-0.013172,-0.021512
hkd-usd,-0.013186,-0.00981
cad-usd,-0.013326,-0.009747
nzd-cad,-0.013334,-0.020138
gbp-cad,-0.013473,-0.012914
nzd-hkd,-0.013478,-0.020138
chf-dkk,-0.013526,-0.021423
nzd-usd,-0.013668,-0.016952
gbp-usd,-0.013808,-0.009727
sgd-sek,-0.013842,-0.016092
cad-gbp,-0.013946,-0.013738
czk-pln,-0.014309,-0.010301
usd-nzd,-0.014914,-0.011695
chf-sek,-0.015111,-0.010557
sgd-nok,-0.015256,-0.016347
aud-nok,-0.015339,-0.019181
aud-sgd,-0.015544,-0.018294
eur-sek,-0.016494,-0.012594
gbp-hkd,-0.017035,-0.010274
chf-sgd,-0.017066,-0.009547
eur-sgd,-0.018178,-0.012028
sek-aud,-0.018234,-0.009748
cad-nzd,-0.018241,-0.011443
sgd-aud,-0.018294,-0.015544
chf-aud,-0.019071,-0.005657
hkd-nzd,-0.020138,-0.013478
eur-aud,-0.02032,-0.007935
gbp-nzd,-0.02076,-0.013396
dkk-chf,-0.021423,-0.013526
dkk-eur,-0.021512,-0.013172
aud-gbp,-0.023382,-0.004803
chf-nok,-0.023704,-0.015525
eur-nok,-0.024953,-0.017803
dkk-sgd,-0.025454,-0.010471
aud-hkd,-0.025807,-0.000466
sek-cad,-0.026125,0.000715
sek-gbp,-0.026187,9.4E-05
aud-cad,-0.026402,-0.004828
sgd-cad,-0.026603,-0.001997
sgd-usd,-0.026653,0.001193
chf-cad,-0.026733,0.002938
aud-usd,-0.026737,-0.001641
nok-gbp,-0.027267,-0.00241
sek-usd,-0.027422,0.003014
sgd-gbp,-0.027476,-0.002662
eur-gbp,-0.027478,0.002874
nok-usd,-0.02754,0.001398
eur-hkd,-0.027561,0.003495
aud-nzd,-0.027677,-0.002508
eur-usd,-0.02775,0.006681
chf-usd,-0.028259,0.007106
dkk-aud,-0.028288,-0.010555
chf-gbp,-0.028879,0.003115
usd-czk,-0.029126,0.007109
eur-cad,-0.029255,0.001502
sgd-hkd,-0.0299,0.001676
chf-hkd,-0.031303,0.007452
usd-pln,-0.031418,0.008825
cad-czk,-0.032235,0.007037
nok-cad,-0.032379,-0.008772
nzd-czk,-0.032794,0.000157
gbp-czk,-0.0329,0.006164
sgd-nzd,-0.033605,-0.002475
hkd-pln,-0.03383,0.003879
eur-nzd,-0.034422,0.003132
cad-pln,-0.034605,0.00916
chf-nzd,-0.034689,0.003737
gbp-pln,-0.035226,0.009098
nzd-pln,-0.035872,0.002009
dkk-cad,-0.036312,0.002996
dkk-gbp,-0.036374,0.002375
dkk-usd,-0.036647,0.006182
dkk-hkd,-0.039384,0.006682
dkk-nzd,-0.041254,0.00464
aud-czk,-0.041671,0.015972
usd-zar,-0.045093,0.021336
gbp-zar,-0.046925,0.018952
chf-czk,-0.047168,0.02389
sek-pln,-0.047879,0.022726
aud-pln,-0.048155,0.017184
cad-zar,-0.048279,0.021671
hkd-zar,-0.048279,0.021526
eur-czk,-0.048417,0.021612
nzd-zar,-0.048761,0.014384
nok-pln,-0.048958,0.020223
sgd-pln,-0.051032,0.018252
eur-pln,-0.053684,0.021751
chf-pln,-0.0547,0.031027
pln-mxn,-0.057395,0.028586
usd-try,-0.05889,0.017937
nzd-try,-0.060271,0.012844
dkk-pln,-0.060516,0.023258
chf-zar,-0.061193,0.036678
sgd-zar,-0.061746,0.032529
aud-zar,-0.061829,0.029694
cad-try,-0.062077,0.018272
gbp-try,-0.062567,0.017138
eur-zar,-0.062843,0.038017
sgd-try,-0.075543,0.02913
aud-try,-0.075627,0.026296
usd-mxn,-0.07622,0.050005
chf-try,-0.077149,0.035043
nzd-mxn,-0.077987,0.044857
eur-try,-0.078084,0.032586
cad-mxn,-0.079406,0.05034
hkd-mxn,-0.079406,0.050195
gbp-mxn,-0.080027,0.050278
aud-mxn,-0.089054,0.058959
sgd-mxn,-0.093148,0.061101
eur-mxn,-0.09397,0.066686
chf-mxn,-0.094551,0.066877
pln-huf,-0.104886,0.060104
nzd-huf,-0.119074,0.084661
usd-huf,-0.121809,0.08428
cad-huf,-0.125135,0.084533
gbp-huf,-0.1258,0.08366
aud-huf,-0.132142,0.099971
eur-huf,-0.141317,0.099108
chf-huf,-0.145018,0.103634
